coub,sex,edu_lfs,lfs,age,oecd,regionb,oecdb,fborn,number
AND,2,2,1,1,1,EURO,0,1,20
AND,2,2,2,1,1,EURO,0,1,174
AND,2,2,3,1,1,EURO,0,1,329
AND,2,2,1,2,1,EURO,0,1,133
AND,2,2,2,2,1,EURO,0,1,8
AND,2,2,3,2,1,EURO,0,1,26
AND,2,2,1,3,1,EURO,0,1,1
AND,2,2,3,3,1,EURO,0,1,21
AND,2,2,1,99,1,EURO,0,1,108
AND,2,2,3,99,1,EURO,0,1,38
AND,2,3,1,1,1,EURO,0,1,10
AND,2,3,2,1,1,EURO,0,1,5
AND,2,3,3,1,1,EURO,0,1,72
AND,2,3,1,2,1,EURO,0,1,481
AND,2,3,2,2,1,EURO,0,1,83
AND,2,3,3,2,1,EURO,0,1,35
AND,2,3,1,3,1,EURO,0,1,1
AND,2,3,3,3,1,EURO,0,1,25
AND,2,3,1,99,1,EURO,0,1,27
AND,2,3,3,99,1,EURO,0,1,23
AND,2,99,3,1,1,EURO,0,1,2
AND,2,99,1,2,1,EURO,0,1,1
AND,2,99,99,99,1,EURO,0,1,1
ANT,1,1,1,1,1,SCAC,0,1,911
ANT,1,1,2,1,1,SCAC,0,1,199
ANT,1,1,3,1,1,SCAC,0,1,1080
ANT,1,1,1,2,1,SCAC,0,1,4982
ANT,1,1,2,2,1,SCAC,0,1,419
ANT,1,1,3,2,1,SCAC,0,1,2276
ANT,1,1,3,3,1,SCAC,0,1,444
ANT,1,1,1,99,1,SCAC,0,1,711
ANT,1,1,2,99,1,SCAC,0,1,15
ANT,1,1,3,99,1,SCAC,0,1,418
ANT,1,2,1,1,1,SCAC,0,1,727
ANT,1,2,2,1,1,SCAC,0,1,298
ANT,1,2,3,1,1,SCAC,0,1,1079
ANT,1,2,1,2,1,SCAC,0,1,6760
ANT,1,2,2,2,1,SCAC,0,1,439
ANT,1,2,3,2,1,SCAC,0,1,2227
ANT,1,2,1,3,1,SCAC,0,1,180
ANT,1,2,3,3,1,SCAC,0,1,1326
ANT,1,2,1,99,1,SCAC,0,1,2533
